ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,parish
LA0230200,IBERIA,False,29.904728,-91.66978,LA,Louisiana,Jeanerette Police Department,City,,IBERIA
LA0230300,IBERIA,False,30.00271,-91.81355,LA,Louisiana,New Iberia Police Department,City,,IBERIA
LA0230000,IBERIA,True,30.004484,-91.820404,LA,Louisiana,Iberia Parish Sheriff's Office,County,2011-01-01,IBERIA
LA0430000,SABINE,False,31.560209,-93.559228,LA,Louisiana,Sabine Parish Sheriff's Office,County,,SABINE
LA0430500,SABINE,False,31.444082,-93.45514,LA,Louisiana,Florien Police Department,City,,SABINE
LA0430700,SABINE,True,31.560209,-93.559228,LA,Louisiana,Fisher Police Department,City,2021-01-01,SABINE
LA0430100,SABINE,False,31.568363,-93.48213,LA,Louisiana,Many Police Department,City,,SABINE
LA0540000,TENSAS,True,32.001489,-91.342576,LA,Louisiana,Tensas Parish Sheriff's Office,County,2009-01-01,TENSAS
LA0580200,VERNON,False,31.11617,-93.27393,LA,Louisiana,New Llano Police Department,City,,VERNON
LA0580000,VERNON,False,31.110563,-93.18152,LA,Louisiana,Vernon Parish Sheriff's Office,County,,VERNON
LA0580100,VERNON,False,31.143944,-93.26386,LA,Louisiana,Leesville Police Department,City,,VERNON
LA0580300,VERNON,False,31.110563,-93.18152,LA,Louisiana,Rosepine Police Department,City,,VERNON
LA0080500,BOSSIER,True,32.481724,-93.76072,LA,Louisiana,"Louisiana State University: Health Sciences Center, Shreveport",University or College,2020-06-01,BOSSIER
LA0080000,BOSSIER,True,32.696225,-93.618086,LA,Louisiana,Bossier Parish Sheriff's Office,County,2004-01-01,BOSSIER
LA0080100,BOSSIER,True,32.696225,-93.618086,LA,Louisiana,Bossier City Police Department,City,2019-10-01,BOSSIER
LA0080200,BOSSIER,True,,,LA,Louisiana,Benton,,2019-06-01,BOSSIER
LA0080300,BOSSIER,True,,,LA,Louisiana,Plain Dealing,,2020-11-01,BOSSIER
LA0080400,BOSSIER,True,32.696225,-93.618086,LA,Louisiana,Haughton Police Department,City,2022-01-01,BOSSIER
LA0080600,BOSSIER,True,32.432076,-93.70222,LA,Louisiana,Louisiana State University: Shreveport,University or College,2020-01-01,BOSSIER
LA0080700,BOSSIER,False,32.54364,-93.832954,LA,Louisiana,Southern University and A&M College: Shreveport,University or College,,BOSSIER
LA0120000,CAMERON,True,29.871888,-93.165539,LA,Louisiana,Cameron Parish Sheriff's Office,County,2005-01-01,CAMERON
LA0160000,DE SOTO,True,32.03907,-93.70989,LA,Louisiana,De Soto Parish Sheriff's Office,County,2021-01-01,DE SOTO
LA0160100,DE SOTO,True,32.059248,-93.740797,LA,Louisiana,Mansfield Police Department,City,2020-08-01,DE SOTO
LA0250000,JACKSON,True,32.240776,-92.715485,LA,Louisiana,Jackson Parish Sheriff's Office,County,2020-07-01,JACKSON
LA0310200,LINCOLN,True,32.601823,-92.662303,LA,Louisiana,Ruston Police Department,City,2020-01-01,LINCOLN
LA0310300,LINCOLN,False,32.601823,-92.662303,LA,Louisiana,Grambling Police Department,City,,LINCOLN
LA0310600,LINCOLN,False,32.601823,-92.662303,LA,Louisiana,Grambling State University,University or College,,LINCOLN
LA0310700,LINCOLN,True,32.601823,-92.662303,LA,Louisiana,Louisiana Tech University,University or College,2021-01-01,LINCOLN
LA0310000,LINCOLN,True,32.52667,-92.63829,LA,Louisiana,Lincoln Parish Sheriff's Office,County,2020-07-01,LINCOLN
LA0330000,MADISON,True,32.407642,-91.187164,LA,Louisiana,Madison Parish Sheriff's Office,County,2003-01-01,MADISON
LA0330100,MADISON,True,32.40846,-91.1866,LA,Louisiana,Tallulah Police Department,City,2007-01-01,MADISON
LA0360200,ORLEANS,True,29.983511,-90.106285,LA,Louisiana,Delgado Community College,University or College,2021-01-01,ORLEANS
LA0360300,ORLEANS,True,30.030651,-90.06331,LA,Louisiana,University of New Orleans,University or College,2021-01-01,ORLEANS
LANPD0000,ORLEANS,False,29.960224,-90.09213,LA,Louisiana,New Orleans Police Department,City,,ORLEANS
LA0361200,ORLEANS,True,30.024525,-90.04403,LA,Louisiana,Southern University and A&M College: New Orleans,University or College,2021-01-01,ORLEANS
LA0361700,ORLEANS,False,29.957678,-90.08284,LA,Louisiana,"Louisiana State University: Health Sciences Center, New Orleans",University or College,,ORLEANS
LA036209E,ORLEANS,True,29.93539,-90.12396,LA,Louisiana,Tulane University,,2022-01-01,ORLEANS
LA036219E,ORLEANS,False,,,LA,Louisiana,Dillard University,University or College,,ORLEANS
LA0400200,RAPIDES,False,31.324041,-92.43274,LA,Louisiana,Pineville Police Department,City,,RAPIDES
LA0400700,RAPIDES,False,31.193204,-92.535953,LA,Louisiana,Woodworth Police Department,City,,RAPIDES
LA0401000,RAPIDES,False,31.406595,-92.40997,LA,Louisiana,Ball Police Department,City,,RAPIDES
LA0400000,RAPIDES,True,31.193204,-92.535953,LA,Louisiana,Rapides Parish Sheriff's Office,County,2007-01-01,RAPIDES
LA0400100,RAPIDES,True,31.193204,-92.535953,LA,Louisiana,Alexandria Police Department,City,2021-01-01,RAPIDES
LA0510300,ST MARY,True,29.629349,-91.463804,LA,Louisiana,Morgan City Police Department,City,2021-01-01,ST MARY
LA0510000,ST MARY,True,29.629349,-91.463804,LA,Louisiana,St. Mary Parish Sheriff's Office,County,2021-01-01,ST MARY
LA0510100,ST MARY,True,29.629349,-91.463804,LA,Louisiana,Berwick Police Department,City,2021-03-01,ST MARY
LA0510200,ST MARY,False,29.629349,-91.463804,LA,Louisiana,Franklin Police Department,City,,ST MARY
LA0510400,ST MARY,True,29.629349,-91.463804,LA,Louisiana,Patterson Police Department,City,2021-01-01,ST MARY
